Key,en,es,ar,fr
Languages,Languages,Idiomas,اللغات,Langues
Language,Language,Idioma,لغة,Langue
Information,Information,Información,معلومة,Information
Language Information,Language Information,Información de idioma,معلومات اللغة,Informations linguistiques
Language Manager,Language Manager,Administrador de idiomas,مدير اللغة,Gestionnaire de langues
Language created successfully!,Language created successfully!,¡Idioma creado exitosamente!,تم إنشاء اللغة بنجاح!,Langue créée avec succès !
Super Admin,Super Admin,Súper administrador,المشرف الفائق,Super administrateur
DEFAULT,DEFAULT,POR DEFECTO,تقصير,DÉFAUT
Setup Currency,Setup Currency,Configuración de moneda,عملة الإعداد,Devise de configuration
Fees & Charges,Fees & Charges,Tarifas y cargos,الرسوم والمصاريف,Frais et charges
TRANSACTIONS & LOGS,Transactions & Logs,Transacciones y registros,المعاملات والسجلات,Transactions et journaux
Add Money Logs,Add Money Logs,Agregar registros de dinero,إضافة سجلات الأموال,Ajouter des journaux d'argent
All Logs,All Logs,Todos los registros,جميع السجلات,Tous les journaux
Money Out Logs,Money Out Logs,Registros de salida de dinero,سجلات خروج الأموال,Journaux de sorties d'argent
Pending Logs,Pending Logs,Registros pendientes,السجلات المعلقة,Journaux en attente
Completed Logs,Completed Logs,Registros completados,السجلات المكتملة,Journaux terminés
Canceled Logs,Canceled Logs,Registros cancelados,السجلات الملغاة,Journaux annulés
User Care,User Care,Atención al usuario,رعاية المستخدم,Entretien utilisateur
Active Users,Active Users,Usuarios activos,المستخدمين النشطين,Utilisateurs actifs
All Users,All Users,Todos los usuarios,جميع المستخدمين,Tous les utilisateurs
Email To Users,Email To Users,Enviar correo electrónico a los usuarios,البريد الإلكتروني للمستخدمين,Envoyer un e-mail aux utilisateurs
Banned Users,Banned Users,Usuarios prohibidos,المستخدمون المحظورون,Utilisateurs bannis
Agent Care,Agent Care,Atención al agente,رعاية الوكيل,Entretien des agents
Active Agents,Active Agents,Agentes activos,الوكلاء النشطون,Agents actifs
Email unverified,Email Unverified,Correo electrónico no verificado,لم يتم التحقق من البريد الإلكتروني,E-mail non vérifié
KYC Unverified,KYC Unverified,KYC no verificado,لم يتم التحقق من KYC,KYC non vérifié
All Agents,All Agents,Todos los agentes,جميع الوكلاء,Tous les agents
Email To Agents,Email To Agents,Correo electrónico a los agentes,البريد الإلكتروني للوكلاء,Envoyer un e-mail aux agents
Banned Agents,Banned Agents,Agentes prohibidos,الوكلاء المحظورون,Agents bannis
Admin Care,Admin Care,Atención administrativa,رعاية المشرف,Soins administratifs
All Admin,All Admin,Todos los administradores,كل المشرف,Tous les administrateurs
Admin Role,Admin Role,Rol de administrador,دور المشرف,Rôle d'administrateur
Role Permission,Role Permission,Permiso de rol,إذن الدور,Autorisation de rôle
Email To Admin,Email To Admin,Enviar correo electrónico al administrador,البريد الإلكتروني إلى المشرف,Envoyer un e-mail à l'administrateur
Settings,Settings,Ajustes,إعدادات,Paramètres
Web Settings,Web Settings,Configuración web,إعدادات الويب,Paramètres Web
Basic Settings,Basic Settings,Ajustes básicos,الإعدادات الأساسية,Paramètres de base
Image Assets,Image Assets,Recursos de imagen,أصول الصورة,Actifs d’image
Setup SEO,Setup SEO ( Search Engine Optimization ),Configurar SEO (optimización de motores de búsqueda),إعداد SEO (تحسين محرك البحث),Configuration du référencement (optimisation des moteurs de recherche)
App Settings,App Settings,Ajustes de Aplicacion,إعدادات التطبيقات,Paramètres de l'application
Splash Screen,Splash Screen,Pantalla de bienvenida,شاشة البداية,Écran de démarrage
Onboard Screen,Onboard Screen,Pantalla integrada,شاشة على متن الطائرة,Écran embarqué
App URLs,App URLs,URL de aplicaciones,عناوين URL للتطبيقات,URL des applications
VERIFICATION CENTER,Verification Center,Centro de verificación,مركز التحقق,Centre de vérification
Setup Email,Setup Email,Configurar correo electrónico,إعداد البريد الإلكتروني,E-mail de configuration
Email Method,Email Method,Método de correo electrónico,طريقة البريد الإلكتروني,Méthode de courrier électronique
